storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_2day,ap_3day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
155,2,5/14/1994 11:25,5/15/1994 6:30,1,0.372,0.576,0.504,0.464,0.356,0.258,0.881,19.083,0.019,0,0,0.395,77,58,67,0.3,0,0,P,0,0,1,,5/14/1994,5/15/1994,5,1994,5.95,11.86,5.93,1.56,3.08,1.54,2.21,4.19,2.09,1,1.77,0.89,12,24,12,1,2,1,0,0.37
156,5,5/23/1994 12:55,5/25/1994 20:05,2,0.644,0.456,0.432,0.376,0.28,0.212,0.991,55.167,0.012,0,0.083,0.083,84,40,63,0.51,0,0,P,0,0,1,,5/23/1994,5/27/1994,5,1994,6.91,29.8,5.96,1.95,4.9,0.98,3.22,13.72,2.74,1.41,3.21,0.64,11,54,10.8,1,2,0.4,0,0.64
157,4,5/30/1994 19:25,5/31/1994 4:35,1,0.455,1.596,1.566,1.212,0.744,0.407,2.912,9.167,0.05,0,0.017,0.037,87,51,69,0.12,0,0,P,0,0,1,,5/30/1994,6/2/1994,5,1994,8.22,26.52,6.63,3.48,6.07,1.52,3.24,11.03,2.76,0.79,1.68,0.42,11,41.5,10.38,1.4,2.7,0.68,0,0.46
158,4,6/5/1994 1:50,6/5/1994 14:35,1,0.713,0.9,0.618,0.504,0.294,0.199,1.365,12.75,0.056,0,0,0.003,87,46,69,1.05,0,0,P,0,0,1,,6/5/1994,6/8/1994,6,1994,15.95,41.05,10.26,10.74,16.49,4.12,6.37,15.02,3.76,4.19,6.35,1.59,12,42,10.5,2.7,2.7,0.68,0,0.71
159,3,6/12/1994 21:25,6/13/1994 6:00,1,0.384,0.36,0.324,0.304,0.258,0.208,0.651,8.583,0.045,0,0.045,0.045,94,57,76,0.47,0,0,P,0,0,1,,6/12/1994,6/14/1994,6,1994,11.71,26.04,8.68,5.03,6.48,2.16,4.1,8.49,2.83,1.98,2.64,0.88,11,29.7,9.9,1.8,2.1,0.7,0,0.38
160,2,6/23/1994 2:25,6/23/1994 12:55,1,0.541,0.3,0.252,0.228,0.192,0.152,0.601,10.5,0.052,0,0.026,0.214,83,62,72,0.61,0,0,P,0,0,1,,6/23/1994,6/24/1994,6,1994,3.95,7.08,3.54,1.9,2.98,1.49,2.07,3.1,1.55,1.72,2.4,1.2,9.9,19.4,9.7,1.5,1.9,0.95,0,0.54
161,3,6/25/1994 20:55,6/26/1994 7:50,1,0.353,0.672,0.57,0.496,0.31,0.162,0.806,10.917,0.032,0,0.541,0.541,85,59,72,0.15,0,0,P,0,0,1,,6/25/1994,6/27/1994,6,1994,3.5,8.3,2.77,1.24,1.52,0.51,1.54,2.82,0.94,0.92,0.95,0.32,9.9,28.1,9.37,0.8,0.9,0.3,0,0.35
162,4,7/5/1994 5:30,7/8/1994 2:45,3,2.376,2.724,2.016,1.74,0.92,0.468,13.297,69.25,0.034,0.051,0.091,0.091,90,57,73,3.52,0,0,P,0,0,1,,7/5/1994,7/8/1994,7,1994,96.84,211.25,52.81,79.79,173.24,43.31,47.36,91.49,22.87,42.97,81.69,20.42,18,59,14.75,5,11.7,2.93,0,2.38
163,2,8/3/1994 15:10,8/4/1994 7:45,1,0.609,1.524,1.194,1.16,0.952,0.531,4.944,16.583,0.037,0,0.053,0.053,85,62,73,0.1,0,0,P,0,0,1,,8/3/1994,8/4/1994,8,1994,7.95,13.04,6.52,4,5.14,2.57,2.36,3.86,1.93,1.37,1.88,0.94,8.8,17,8.5,1.4,2.2,1.1,0,0.61
164,5,8/9/1994 16:40,8/10/1994 21:45,1,3.449,0.744,0.72,0.716,0.69,0.622,17.641,29.083,0.119,0,0.04,0.04,80,52,64,3.68,0,0,P,0,0,1,,8/9/1994,8/13/1994,8,1994,783.38,837.64,167.53,780.17,815.67,163.13,383.02,396.45,79.29,382.22,390.4,78.08,63,107.2,21.44,55.8,59.8,11.96,0,3.45
